,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,n_pcs,rv,lid_mean,lid_median,lid_std,lid_kurtosis,lid_skew,lid_entropy,lid_hist0,lid_hist1,lid_hist2,lid_hist3,lid_hist4,lid_hist5,lid_hist6,lid_hist7,lid_hist8,lid_hist9,rc_mean,rc_median,rc_std,rc_kurtosis,rc_skew,rc_entropy,rc_hist0,rc_hist1,rc_hist2,rc_hist3,rc_hist4,rc_hist5,rc_hist6,rc_hist7,rc_hist8,rc_hist9,elapsed_time(secs)
base13_8000,0.08046200091273198,0.023167872591863533,4.2479266414049555,2.1589734376273712e-07,0.004,0.0,0.25190821698167504,0.17922074283730777,8.120857435553482,6.226560413861289,32.4949523817978,58.48303773563791,,,,,250.0,9.531852128788994,2.6213681797350223,-0.9519453976523468,0.5652260620236917,6.33277588514677,1.8539164543750997,11.693004297091381,1.3039642171219057,-0.05664996174516605,1.6106623581857287,-0.3735002140586281,2.463686789172804,-11.623776663689444,1.1841375545903654,32.0,0.0,0.0,0.10887096774193548,8000.0,0.0,32.0,4.0,,23.316780960780825,1.8907720562376102,5.652267216904942,0.7513103842080049,-0.022269024775728532,0.4125136765162258,0.0,0.0,-0.098896932657479,2.003723081931523,32.49495238179778,8.472239031025572,8.0,0.06384394357766325,16.7918604392235,16.922356456977198,1.5402773628214887,-0.08692131421923177,0.16992863786837675,4.600968360212018,0.05,0.07,0.18,0.11,0.23,0.18,0.1,0.06,0.0,0.02,0.9429516289914296,0.9436691393711903,0.005017923215066,-0.26511928806746177,-0.28508422760613866,4.605156019429094,0.04,0.04,0.09,0.14,0.1,0.23,0.17,0.15,0.02,0.02,1.6183311939239502
base13_1000,0.1442273359737357,0.035961036168966204,3.169907871322856,4.367275711110855e-06,0.032,0.0,0.2525208577672823,0.1783578798525469,8.115640407656496,6.154873274941462,32.40489558527711,58.18451859345061,,,,,31.25,9.513485033205418,2.5667795815824737,-0.9413934171967744,0.5914599944427072,6.268709498078706,1.7444126408579446,10.963323672528098,1.3529802063423495,-0.08195073860506526,1.6281995120365822,-0.42684279852530216,2.475441275631719,-11.136997793562713,1.1917298503142941,32.0,0.0,0.0,0.10483870967741934,1000.0,0.0,32.0,2.0,,22.10032146609081,1.8708198781318177,5.64668009701146,0.7325779261277007,-0.016683100413373182,0.42651349997467564,0.0,0.0,-0.13084689385946552,2.022950157864732,32.40489558527712,8.246668280606036,8.0,0.06482592263194029,0.685774044134926,0.6893496855006361,0.04999748543733826,-0.5579056154336515,0.029603276312635325,4.602508693980403,0.05,0.14,0.03,0.19,0.23,0.1,0.12,0.09,0.04,0.01,0.2826651508885773,0.2797004873033118,0.04856111336721762,-1.036194581591592,-0.1275414677741351,4.590153301998312,0.1,0.08,0.07,0.02,0.18,0.14,0.11,0.03,0.15,0.12,1.177203893661499
base65_999900,9.692459053642108e-05,1.4887752651047168e-06,6.629356620079609,2.675004986108541e-15,0.00012801280128012802,0.0,0.0008067176310965181,0.0006085374924612639,0.08065553399561085,0.06084206488182409,99.98053636715841,1.1515588200303317,,,,,7811.71875,13.488161494497337,0.0149046967548234,0.00031787390981306493,0.004756693665769185,9.99879116510451,0.011021218200771645,48.35228111654679,6.325799461415818,-0.029888159803267783,5.700064689959565,-0.02935622201681007,5.700320423762843,-48.670425176778714,6.498915233646447,128.0,0.0,0.0,0.0,999900.0,124.0,128.0,128.0,,97.02270629332548,3.201247245227319,9.999024334501703,0.007007771689791352,0.0001411757471269116,0.002381063166666782,0.0,0.0,-0.03001525299926002,5.700122913588136,99.9805363671583,0.14014561143143603,115.0,0.06064038513026838,67.92879144764773,67.46700684868773,6.890313482306751,0.3496854892296137,0.41954558982673706,9.205241090845222,0.0066,0.0613,0.2192,0.313,0.24100000000000002,0.111,0.0359,0.0096,0.0019,0.0005,0.9853316376039408,0.9853796836682158,0.0014535966530520765,0.07326490036711553,-0.1903876470314796,9.210339283712539,0.0012,0.0064,0.0283,0.099,0.2161,0.29100000000000004,0.2336,0.1003,0.022000000000000002,0.0021,326.4796326160432
base28_4000,0.0035217412492917163,0.0003837835163906755,3.906888340456499,0.0,0.002,0.0,0.014479145624434293,0.008533693061757917,0.014373362370132384,0.008363044949798249,0.9973076029708394,0.05473970429190657,,,,,500.0,1.3435916089662308,0.024758097559072753,-0.03997236883423316,0.04540622823259051,0.9984445505753771,0.018346211275586003,5.509252393218862,2.9331728398598975,2.029183171787817,3.0461259685357933,2.0278990437544886,3.0435617727436695,-1.4349012505087784,3.060426649112611,8.0,0.0,0.0,0.0,4000.0,7.0,8.0,8.0,,6.94415364372764,0.28726915821791055,0.9985648206066498,0.014178535795804244,-0.010583924737069993,0.048612072565963206,0.0,0.0,2.0307333407648427,3.0471347368760426,0.9973076029708393,0.028357462839147498,8.0,0.09714142823587987,7.6719625535429525,7.482429050904562,0.9864108808085592,0.7047737397890299,0.7734199443711091,4.597105334309426,0.12,0.19,0.23,0.14,0.17,0.09,0.02,0.02,0.01,0.01,0.8822079755193548,0.8811331988841241,0.012903338050648307,-0.429162975729434,0.13954989329507209,4.6050632863398535,0.06,0.08,0.15,0.18,0.15,0.18,0.09,0.07,0.03,0.01,0.5573811531066895
base28_8000,0.00224380685730154,0.00018166812351413055,4.247926882354102,3.2380521581021e-07,0.001,0.0,0.007925849481098653,0.006535821128229646,0.007967734245297465,0.006600697776739406,1.003891911959872,0.03217820976512175,,,,,1000.0,1.3517812358428039,0.018703415227916676,0.006161022747033729,0.039448558126913266,1.0019521493437376,0.013044153830996014,5.748231563816254,3.189344110527054,2.03038356638036,3.061602857295817,2.0357463864329532,3.062509409506216,-1.7402745649459754,3.2261596609342424,8.0,0.0,0.0,0.0,8000.0,8.0,8.0,8.0,,7.4885061287622285,0.411564841157058,1.0019232214958944,0.00690922258688655,-0.006086949907476426,0.03508488046580896,0.0,0.0,2.0324172337359316,3.06172052988971,1.0038919119598717,0.01383667332055752,8.0,0.09584594890867934,7.974814834705397,7.813738099060105,1.085065634833164,4.881508729808292,1.5403302647043586,4.596387871712339,0.14,0.19,0.39,0.15,0.07,0.03,0.02,0.0,0.0,0.01,0.8863527129652852,0.8862361200330559,0.01247388060803147,0.6470464752129099,0.394789939096438,4.605071329149653,0.04,0.13,0.11,0.28,0.18,0.16,0.05,0.03,0.01,0.01,0.6392648220062256
base28_500,0.013348551143857674,0.003417413244170384,2.8073203201603487,0.0,0.016,0.0,0.03329944601362212,0.028917388964635568,0.031796263705943524,0.02739029996611476,0.9564559813798112,0.13562001482295136,,,,,62.5,1.3255444761312345,0.07619657548122662,-0.08248041526631394,0.11343615785402222,0.9847935261115298,0.047489731670478263,4.922155926097362,3.172146812931834,2.0235974183311107,3.111049309104395,2.01287459482839,3.1207179160540632,-0.9707073834302319,3.03576171184436,8.0,0.0,0.0,0.0,500.0,8.0,8.0,8.0,,5.892863309527595,0.5008706947547309,0.9774470394111058,0.03469485801795692,0.014320646807368359,0.14403523017282546,0.0,0.0,2.02179988941458,3.1083475663205262,0.9564559813798112,0.06721080334778051,8.0,0.09707867016562534,6.295040881144973,6.262480221155889,0.7024011854101624,-0.7783594233517142,0.14445206449832373,4.59895019610012,0.03,0.09,0.14,0.13,0.16,0.13,0.1,0.12,0.06,0.04,0.8593867744137834,0.8607090012338695,0.013876234407846235,-0.7036949599983822,-0.22554964500155675,4.605039657172097,0.02,0.03,0.11,0.11,0.1,0.16,0.14,0.16,0.11,0.06,0.4678335189819336
base28_32000,0.0009379533912558733,4.925825241858432e-05,4.954196180789987,0.0,0.00025,0.0,0.004929505850943061,0.003449077396831201,0.004924460193260619,0.0034452976452714382,0.9992450782531657,0.019129955839805125,,,,,4000.0,1.3454337623231092,0.009002678769409737,0.0027570628878968995,0.020335170920700966,0.9972931083022186,0.006538215253915168,5.970453357770566,3.08051765875076,2.0266823734509116,3.061238614345202,2.027030386820079,3.058659059147468,-2.1440108743726825,3.366677007057219,8.0,0.0,0.0,0.0,32000.0,8.0,8.0,8.0,,8.114464232143249,0.41507799771441617,0.9996136598399556,0.004486081909343643,-0.0028941119831358674,0.0107714415456003,0.0,0.0,2.0272414735671127,3.0608038688467123,0.9992450782531656,0.00896568949962707,8.0,0.0954770914765679,8.263082174921509,8.14938383375782,1.0390664444278157,1.3199499316570442,0.8125586542761903,9.20262575953824,0.0147,0.1808,0.3847,0.2731,0.1021,0.0323,0.0097,0.0019,0.0006,0.0001,0.8900486452037616,0.8899749187119148,0.011938459530181205,0.06415998181415983,0.05708213329696371,9.210250428819773,0.0005,0.0081,0.042,0.1591,0.2839,0.2929,0.1537,0.049,0.0099,0.0009,3.777073860168457
base28_1000,0.008097413451096377,0.001394712577369394,3.169914370037076,6.726808295172138e-06,0.008,0.0,0.02630576118818573,0.018873939890225858,0.026433486992754197,0.018762521057936028,1.0067815359763088,0.10253305991175692,,,,,125.0,1.364184758124515,0.05796281280929644,0.004605921938227897,0.11333689682618252,1.0135973188217595,0.044829423388581785,5.401748762376331,2.9718193621334117,2.0326602405274308,3.071366606313667,2.0258758287386143,3.0662263402459637,-1.2208345119717683,3.1278165080574984,8.0,0.0,0.0,0.0,1000.0,8.0,8.0,8.0,,6.6225832743481,0.4412945935405492,1.0031454870535532,0.02343788826171887,0.022267915308676597,0.09539763813424762,0.0,0.0,2.031346891510204,3.0703604791413612,1.0067815359763084,0.04698422665171863,8.0,0.09192500757041262,7.1521230384815455,7.034643449802351,0.9597358904858868,0.4823525226021799,0.8580677322878937,4.596429215843542,0.07,0.18,0.18,0.2,0.18,0.05,0.04,0.06,0.02,0.02,0.8742361388972515,0.8741208113650833,0.01403390796609864,-0.2241531003781585,0.2408460950512359,4.605041491098701,0.04,0.02,0.13,0.16,0.21,0.19,0.11,0.04,0.07,0.03,0.4782767295837402
base28_2000,0.005416432545497228,0.0006746430627838887,3.584956726082241,0.0,0.004,0.0,0.01634489760752662,0.012216930883021063,0.01642258302557406,0.012335321667797702,1.0032778915381568,0.06236241954911561,,,,,250.0,1.3408649096098175,0.029090866416493,0.07592224045861401,0.06255274055704795,0.9948499580721618,0.020679495019975548,5.736036356443097,3.039363389458481,2.0416185052366966,3.058049441205997,2.039616502121125,3.072103160659368,-1.4129760288283626,3.012772191141304,8.0,0.0,0.0,0.0,2000.0,8.0,8.0,8.0,,7.149012385271459,0.3532511146915343,1.00157708891345,0.011770495890311284,-0.00737605319550544,0.0574487974970481,0.0,0.0,2.042847793903965,3.0613453884945785,1.0032778915381568,0.023614710512608692,8.0,0.0947615050139368,7.313033141065509,7.304012410628455,0.7991567920563757,-0.5552827054058871,0.2482457475742807,4.599225266862548,0.07,0.13,0.12,0.18,0.18,0.11,0.1,0.06,0.04,0.01,0.8774401855558277,0.8782301834147198,0.011826084660877829,-0.6059823901676009,-0.12564743465631778,4.60507930071037,0.04,0.07,0.1,0.14,0.15,0.19,0.11,0.13,0.06,0.01,0.4980337619781494
base28_64000,0.0005942808748895604,1.9859570750873562e-05,5.285402165809601,2.314677856561638e-08,0.000125,0.0,0.002616761448930259,0.0021149629651680737,0.002611823779130117,0.0021022579231588403,0.9990975913644118,0.011781828512058248,,,,,8000.0,1.3508968249611415,0.006428950952929614,-0.006659179231129353,0.013398006400305095,1.0012868461164564,0.004552055793647982,6.29879680067104,3.018502326722629,2.028294588459482,3.058907405800137,2.0287084904521495,3.0580018749457807,-2.2744949470246043,3.3945967660453835,8.0,0.0,0.0,0.0,64000.0,7.0,8.0,8.0,,8.573291747695643,0.5016351980450382,0.9995431971811803,0.0035437402737434833,0.0014314436867190559,0.013181694909307519,0.0,0.0,2.0283459318956423,3.058759260574019,0.9990975913644129,0.007081334579179253,8.0,0.09599142461126872,8.381779036831501,8.262807314549551,1.0209683353043344,1.593286297584254,0.8366675028485793,9.203101751567315,0.0115,0.1652,0.3864,0.2826,0.1088,0.0337,0.0079,0.003,0.0005,0.0004,0.8915579357998228,0.8913587125390015,0.011417234865991015,0.15026797051312268,0.06033133652816065,9.210258390026485,0.0003,0.0037,0.031,0.132,0.2854,0.3088,0.1754,0.0527,0.0097,0.001,4.346136331558228
base28_99900,0.0004491066190272682,1.3599152966550296e-05,5.523561926564917,0.0,8.008008008008008e-05,0.0,0.002674085013791876,0.002115553191729072,0.0026700936012606013,0.0021096695163248936,0.9988330240372645,0.011463639819973245,,,,,12487.5,1.348758002994701,0.005714611325645086,-0.0005465694221580275,0.010398599667198388,0.9996898098097776,0.004051120458346963,6.350838285158027,2.997175257141401,2.028559700781758,3.0586656337537383,2.0289897755662283,3.0581375571917326,-2.4505180954103345,3.103829561298906,8.0,0.0,0.0,0.0,99900.0,8.0,8.0,8.0,,8.801356380568361,0.5158731976198365,0.9994119644724836,0.0031621523438414745,-0.0013771831282488184,0.009048717003412135,0.0,0.0,2.0289851685297084,3.058633676652571,0.9988330240372639,0.006328177114700209,8.0,0.0957033938298123,8.450538447595363,8.33794970347416,1.0354767153155158,1.7861294780636818,0.8484680802584637,9.203017004716576,0.013999999999999999,0.2061,0.4218,0.2557,0.0773,0.0185,0.0046,0.0017,0.0002,0.0001,0.8923505332396388,0.8922716972093028,0.011408224974463293,0.1849694884420483,0.044820678586003436,9.210258659218518,0.0005,0.0103,0.0557,0.1817,0.3137,0.2836,0.1175,0.0308,0.0057,0.0005,5.043687105178833
base28_16000,0.0015117751897067825,0.00010130727535663583,4.643856189774724,0.0,0.0005,0.0,0.005840130956756754,0.004659190907135802,0.005889095324337551,0.004720617891115801,1.0079525305656998,0.02617001196468447,,,,,2000.0,1.3529113022692452,0.013969011313825542,0.006746565792535852,0.04009848578938228,1.00338025319601,0.010479758594743729,5.88787169875102,3.1244451433449387,2.0246422820859094,3.055331354378267,2.022777288055167,3.05572273982036,-1.9488117247076882,3.0719673680756756,8.0,0.0,0.0,0.0,16000.0,8.0,8.0,8.0,,7.836683423458709,0.3103467297985437,1.0039429322890974,0.007643430229806276,0.004801321202320956,0.010744426131370399,0.0,0.0,2.023820051641888,3.055856667889966,1.0079525305656993,0.015346368753545886,8.0,0.09585442860813524,7.968779760288631,7.839152232461159,1.0276330647200849,1.51549911598347,0.8602217083090962,9.202244708402047,0.0333,0.2725,0.3836,0.2115,0.0717,0.0198,0.0057,0.0014,0.0004,0.0001,0.8862448443903138,0.8860190897520794,0.012548812216854936,-0.006446700676316032,0.08958797320248679,9.210240158185877,0.0024,0.0202,0.0923,0.2166,0.2982,0.2241,0.1085,0.0315,0.0055,0.0007,1.1072566509246826
base45_2000,0.006088759393080888,0.0011746610197570593,3.58495672608224,8.91668328702847e-16,0.064,0.0,0.06556988163621719,0.04802667939247485,8.68702278799016,6.544678224075373,131.57295479529316,123.52544532035084,,,,,15.625,15.57808319629137,0.8313671516064203,-0.06664244858950946,0.11437064629131784,11.548908476384106,0.6238392545424837,38.09661072329694,3.471593392136989,-0.016649621431913134,1.8515646934523606,-0.007191290438325809,1.923209604439568,-38.359773753663156,4.206709547745917,128.0,0.0,0.0,0.0,2000.0,109.0,128.0,128.0,,76.4563844769601,5.556115578853126,11.460936322423695,0.47077048846007397,0.005075998718256921,0.07079771626420048,0.0,0.0,-0.019730042399338857,1.9023779739986806,131.57295479529316,10.82457357980005,103.0,0.0606424991026836,25.42262739726427,24.943642067407644,3.1530567278724297,-0.12051061707301568,0.4968801639932981,4.597584662810138,0.11,0.1,0.19,0.17,0.16,0.13,0.06,0.05,0.02,0.01,0.9613481863725001,0.9612955894586528,0.004565014791009815,-0.5929842292544532,-0.04535280902261109,4.605158910689178,0.04,0.09,0.07,0.18,0.14,0.13,0.19,0.06,0.07,0.03,1.283576726913452
base45_1000,0.008895071575162571,0.0019712645270996277,3.1699084805773143,4.9228302746484774e-06,0.128,0.0,0.06863789617915955,0.04926251475476413,8.990119045041085,6.638214425443118,130.19025873215008,126.98405925573265,,,,,7.8125,15.5357979873266,0.9271831738733476,-0.0866899647787804,0.16026273325734056,11.509553074464835,0.6964581596805554,36.346939837705335,4.254496155737477,-0.0933614486074303,1.8129695764479223,-0.0874620700239152,1.88342284737763,-36.25770881676824,3.7129504281206156,128.0,0.0,0.0,0.0,1000.0,116.0,128.0,127.0,,72.60464865447358,5.546031024283457,11.39856943091409,0.5147266576791891,0.00040386233593967284,0.08765597320387021,0.0,0.0,-0.08672715494392677,1.8612957132789358,130.19025873215003,11.830657725630319,99.0,0.05689793903016167,19.367857066613354,18.669901476531766,4.006121067236305,0.6901535670696597,0.7486835588510034,4.584412762886777,0.05,0.18,0.16,0.21,0.17,0.12,0.05,0.03,0.0,0.03,0.9484818089271558,0.9486308737786828,0.009928406308823079,-0.2825242589497998,-0.292966237507278,4.605115341064892,0.01,0.03,0.07,0.12,0.14,0.17,0.16,0.19,0.08,0.03,1.16992449760437
base45_32000,0.0011889307151144548,0.0002652794665197356,4.954196180789987,0.0,0.004,0.0,0.0630009397985708,0.045930759649476266,8.31978947544617,6.24868489863468,131.08291653488678,118.15685730611497,,,,,250.0,15.571959909505782,0.7162404696403775,-0.06470212676201526,0.06167665425365748,11.542119555595491,0.5307477822920508,46.047972736529054,3.918494000533892,-0.013824785033625706,1.8056451579743062,-0.021497637182787147,1.8796248565015576,-45.761083908749924,3.5918556106438797,128.0,0.0,0.0,0.0,32000.0,94.0,128.0,128.0,,91.80905664527899,5.064396874225308,11.440626021764233,0.4433149457443634,0.004874194023478072,0.04784657067195872,0.0,0.0,-0.02032092600217794,1.8611235234158077,131.08291653488672,10.185428939479653,109.0,0.06119205545798735,43.117909701649,42.87025319513037,4.137955762413678,0.1867297259025129,0.3873666659771192,9.20577109416771,0.0024,0.0382,0.1752,0.2899,0.2713,0.1456,0.0577,0.0166,0.0024,0.0007,0.9770728746497744,0.9771396336495826,0.0021396373337274587,-0.0198356799614614,-0.1608846895602068,9.210337973980153,0.0004,0.0031,0.0197,0.0765,0.1964,0.2803,0.2634,0.1251,0.0325,0.0026,8.167896270751951
base45_64000,0.0007763389128788486,0.00021294242497032478,5.285402142950685,1.1868588082164922e-08,0.002,0.0,0.06300342884773932,0.045950822176864074,8.322541106103296,6.251447353217673,131.12773741335025,118.19670560113353,,,,,500.0,15.57670111237566,0.7179701953684846,-0.06721426643320894,0.0570152825790599,11.546002780475149,0.532766344914815,47.39427360006136,3.5432262794091796,-0.019378482275271003,1.7972906870897318,-0.029423669061400398,1.8717333942722925,-47.590851308749876,3.5241950665602166,128.0,0.0,0.0,0.0,64000.0,90.0,128.0,128.0,,94.98512490881123,4.6955238793043685,11.44266686254147,0.44117236654548164,0.005330449291633229,0.04860740707003369,0.0,0.0,-0.02773237574945804,1.8524001874838099,131.1277374133502,10.142989937093981,109.0,0.06078125542247315,48.00022802994717,47.69604613119354,4.655882335620866,0.2868421346970176,0.3589343652897883,9.205667682345133,0.0062,0.055,0.1922,0.3091,0.2557,0.1221,0.0462,0.0108,0.0021,0.0006,0.9793625134003214,0.9794191405637924,0.0019573874708112764,0.10979932273940562,-0.2264691020279917,9.210338374401251,0.0011,0.0062,0.0277,0.0906,0.2072,0.2945,0.2428,0.1051,0.0224,0.0024,17.639499187469486
base45_8000,0.002697351535110943,0.0005887864972384013,4.247926541009479,1.8117289353028007e-07,0.016,0.0,0.06335962625010405,0.046329559848969144,8.370868496748061,6.30496561002849,131.14347251344412,119.00773196579146,,,,,62.5,15.595068866580457,0.7362961534427054,-0.0719710635475399,0.07365210294526699,11.559532388640985,0.5447585771240013,42.58348888129579,3.9470073027358907,-0.005230159509303653,1.8044710088115408,-0.01366052982515327,1.8849602052401446,-42.13075789835804,3.6438289580799044,128.0,0.0,0.0,0.0,8000.0,88.0,128.0,128.0,,84.71424677965383,5.22465789955959,11.443071790024042,0.4484997457877631,0.007285074671961856,0.05249633986395032,0.0,0.0,-0.011868321256050252,1.8595806770506345,131.14347251344412,10.295161913020944,108.0,0.06057348623341935,36.88976341444834,36.86418651799523,3.445463095828015,1.0534009199694152,0.5336480694086918,4.6008567699881375,0.01,0.05,0.15,0.19,0.3,0.19,0.04,0.04,0.02,0.01,0.9732920511402824,0.9735022125209608,0.002412448465232205,0.9075610696855329,-0.2260656370919009,4.6051671135538985,0.01,0.0,0.05,0.1,0.15,0.29,0.28,0.05,0.06,0.01,1.8210310935974119
base45_4000,0.003951010080857831,0.0006386697563174733,3.9068883404564976,1.3375024930542705e-15,0.032,0.0,0.06480738757385848,0.0473113396571461,8.567708110855873,6.4396801449672,131.2409339109546,121.70351388266025,,,,,31.25,15.611350105407336,0.7634116594953088,-0.07343018736179699,0.08797073746195477,11.576251801664343,0.560353497830213,40.39308307027095,3.3350638440695395,-0.0083831452009899,1.7981813902057344,-0.014867831930621536,1.8909611447959915,-40.93003605442013,3.9952854700559284,128.0,0.0,0.0,0.0,4000.0,91.0,128.0,128.0,,81.32311912469108,5.052026217656811,11.447150429926978,0.45308358230042656,0.007227044357417485,0.06141743076138537,0.0,0.0,-0.01947958307630633,1.8530756613473371,131.2409339109546,10.410822054675485,106.0,0.0615245480643155,32.08929692000424,32.26940008012437,3.0527703224015,-0.4281024798468839,0.024593106218491704,4.600630814122097,0.01,0.07,0.08,0.14,0.13,0.22,0.17,0.08,0.06,0.04,0.9693709734785476,0.9697881040376132,0.00290582891942233,-0.15434982791186647,-0.426749075348886,4.605165691118782,0.01,0.02,0.05,0.08,0.11,0.16,0.22,0.17,0.13,0.05,1.4738223552703855
base45_16000,0.0018885356525156335,0.0004590370032026827,4.643856189774724,0.0,0.008,0.0,0.06306116972559682,0.04606001547611096,8.320799695500256,6.259624303197552,130.9836022683344,118.23377744375291,,,,,125.0,15.588857055057566,0.7294657335311523,-0.07548521136574005,0.061714786323943296,11.553523424089827,0.5392453031178666,43.73306160318774,3.2741989998615617,-0.013866220626854942,1.7975459363651112,-0.020096092500395193,1.8768047625503244,-44.333795754431435,3.8495455686528426,128.0,0.0,0.0,0.0,16000.0,86.0,128.0,128.0,,88.06685735761917,4.810035403847757,11.43641300596877,0.4399683026438116,0.006037816621363377,0.05052937714730261,0.0,0.0,-0.022945152636937013,1.8555229874435055,130.98360226833438,10.11246119443642,109.0,0.0611215389490183,34.86045801606609,34.65848028288065,3.4985987330212147,0.6213750527036468,0.5092604287868175,9.205361867829835,0.0113,0.0996,0.2603,0.3144,0.2,0.081,0.024,0.0068,0.0021,0.0005,0.9717375466279012,0.9718509127206276,0.002727855838216224,0.0376833778183685,-0.11162033310957176,9.210336431379758,0.0023,0.0123,0.0548,0.1437,0.2459,0.2808,0.1822,0.0623,0.0135,0.0022,3.389573097229004
base45_500,0.013056148667023494,0.0033179475414304494,2.8073203201603496,8.91668328702847e-16,0.256,0.0,0.07204606257207628,0.05276912720494857,9.362975702020584,7.021492964166949,129.44765044366807,133.01296386015264,,,,,3.90625,15.4547825477548,1.1022322774162097,-0.10235904502437132,0.21516525444127713,11.481775861638301,0.8156939990293466,33.688058624833175,4.190995848949317,0.02730613009794676,1.8440844426285132,0.033534553032265046,1.902895635656644,-33.77178961713316,4.26062199477043,128.0,0.0,0.0,0.0,500.0,114.0,128.0,117.0,,67.45984824196634,5.422463201696119,11.36416375820878,0.553011530372848,-0.0007070848878385477,0.11086381134479303,0.0,0.0,0.03138057141786953,1.8877869700611911,129.44765044366807,12.707881084192584,92.0,0.05969632212969868,18.117064533514665,17.983423722924726,2.6843602710615837,0.7594023933754386,0.4656470682133021,4.594306508826969,0.05,0.06,0.15,0.25,0.21,0.14,0.09,0.03,0.0,0.02,0.946334257998003,0.9469087786311898,0.007590122215751322,0.5592299187416354,-0.4995068348139989,4.605137977179721,0.03,0.02,0.03,0.12,0.14,0.27,0.16,0.13,0.08,0.02,1.1414368152618408
base45_99900,0.0006090164993163584,0.00018273118540507088,5.523561926564919,1.783336657405694e-15,0.0012812812812812813,0.0,0.0629129175673689,0.0459169385851013,8.309471897605896,6.247218594248212,131.09335763252238,118.04907751556861,,,,,780.46875,15.57466622421093,0.7196099827338887,-0.06821776390025322,0.05582653819279954,11.544436827690596,0.5332266334303988,48.44369559566667,3.390950543959659,-0.017040607290504328,1.7982494737497143,-0.02733993809683552,1.872495042892844,-48.64811300361231,3.1720905355034277,128.0,0.0,0.0,0.0,99900.0,92.0,128.0,128.0,,97.09180859927898,4.079756685531214,11.441181603798578,0.4407251192363693,0.005632996083646584,0.04774450749146031,0.0,0.0,-0.025900167889041065,1.8527932630282413,131.09335763252238,10.128731388281194,110.0,0.060862509320062375,50.51340014751813,50.21748011290502,4.971394593913899,0.1920854719291274,0.3699723470891653,9.205532411328646,0.0061,0.0499,0.1777,0.2757,0.2552,0.1486,0.0614,0.0192,0.0053,0.0009,0.9803682179049368,0.9804335303516716,0.0018868839761512887,0.025050882902180938,-0.20029076977109325,9.210338519560011,0.0017,0.0068,0.0304,0.0922,0.2012,0.2714,0.235,0.1254,0.0315,0.0044,29.28179287910461
base8_8000,0.002264331460311141,0.0001803807140447862,4.247926594553733,2.287534922942173e-07,0.016,0.0,0.00884592077921314,0.00669182191269137,0.22100997092790395,0.16722124590966853,24.986125853497754,3.1634153047370113,,,,,62.5,6.7430476060780435,0.09407053053720736,-0.002233764151452426,0.05305395959319811,4.999087296280993,0.07126529698850256,18.908819778593603,6.054886021602818,-0.023104833114766132,5.703617714621427,-0.022378236381687955,5.701769485214641,-19.050621884085885,5.863475917689245,128.0,0.0,0.0,0.0,8000.0,123.0,128.0,128.0,,37.95944166267948,2.2070791011151503,4.998437706981397,0.041953470130208226,-0.0027192453234690804,0.028162445490998927,0.0,0.0,-0.021194711144172144,5.703052538089635,24.986125853497732,0.4197233052177687,113.0,0.051653548462054916,49.94727086551661,49.46386045803749,5.751980764264261,0.4100311559221845,0.62434370929528,4.5986525230150805,0.03,0.15,0.15,0.2,0.19,0.16,0.05,0.02,0.04,0.01,0.9800840907082998,0.9801374699808396,0.002187837182924048,-0.2480225104245246,0.0012894061018970252,4.605167694413467,0.01,0.04,0.11,0.11,0.2,0.17,0.19,0.1,0.03,0.04,1.806565523147583
base8_2000,0.005373825250580261,0.0007677138219529261,3.58495672608224,8.91668328702847e-16,0.064,0.0,0.017989263924924146,0.013683055411544876,0.44787320845099454,0.3409976454625022,24.903001937311927,6.425588688129437,,,,,15.625,6.7257724944251684,0.18172989406742676,-0.008657316686653874,0.09923785447656402,4.988657778459552,0.13594655395455166,17.050340943813566,5.9098730789403415,-0.039585670600999524,5.715864475773713,-0.02907285319702651,5.709989214991062,-17.061845969983708,6.274901738665582,128.0,0.0,0.0,0.0,2000.0,121.0,128.0,128.0,,34.112186913797274,2.3553047542532557,4.98956274327376,0.08557322855399072,-0.005351939836027699,0.054909240063532275,0.0,0.0,-0.03405109947885015,5.716181642219848,24.903001937311927,0.8548017974987314,109.0,0.05174864448326109,42.08377824967306,41.97237275734477,4.358654001051542,0.4624081143864611,0.614991264274236,4.599890637166827,0.06,0.22,0.12,0.25,0.16,0.12,0.03,0.03,0.0,0.01,0.9764895388948476,0.9766769672265058,0.002306754302804601,-0.4502199285021584,0.08732398759816333,4.605167395959469,0.03,0.11,0.15,0.1,0.21,0.18,0.12,0.06,0.03,0.01,1.2434301376342771
